deal_id,deal_name,sponsor,confidence,proposed_mt_number,suggested_mt_number,your_decision,why_flagged,suggestion_basis,base_mt_number,suffix,is_extension_or_followon,extension_number,won_deal,hubspot_url
17435686707,AKS: Prurigo Nodularis and healthy - skin biopsies MT0619 (previously MT0624 extension #2) (SEE NOTE),AKS,DECIDE,,MT0619,,"names two different MT numbers: MT0619, MT0624",MT0624 is named as the previous number,,,yes,2,,https://app.hubspot.com/contacts/7423331/record/0-3/17435686707
35801232926,"AMG: Colorectal cancer - fresh tissue, NAT, serum (MT9920 / MT7806)",AMG,DECIDE,,MT7806,,"names two different MT numbers: MT7806, MT9920","MT9920 is the umbrella for fresh tumour orders, so MT7806 looks like this study's own number",,,,,,https://app.hubspot.com/contacts/7423331/record/0-3/35801232926
39867122083,"AMG: PDAC - fresh tumor tissue, NAT, whole blood to ABC (MT9920 / MT8373)",AMG,DECIDE,,MT8373,,"names two different MT numbers: MT8373, MT9920","MT9920 is the umbrella for fresh tumour orders, so MT8373 looks like this study's own number",,,,,,https://app.hubspot.com/contacts/7423331/record/0-3/39867122083
7481251637,"ASB: Breast cancer metastatic to lung, liver, and brain - FFPE (MT6180 / MT6155)",ASB,DECIDE,,,,"names two different MT numbers: MT6155, MT6180",,,,,,,https://app.hubspot.com/contacts/7423331/record/0-3/7481251637
16975861376,BMS: MT4095 & MT4087 call backs - blood,BMS,DECIDE,,,,"names two different MT numbers: MT4087, MT4095",,,,yes,,,https://app.hubspot.com/contacts/7423331/record/0-3/16975861376
44576832783,BMS: Normal - Plasma (Healthy Subjects for MT4052),BMS,DECIDE,,,,the MT number is a cross-reference to a different study (“for MT4052”),,,,,,,https://app.hubspot.com/contacts/7423331/record/0-3/44576832783
2298787671,BMS: PDAC - tumor & blood (MTXNEW),BMS,DECIDE,,,,placeholder text sits where the MT number should be,,,,,,,https://app.hubspot.com/contacts/7423331/record/0-3/2298787671
2265476724,BMS: Solid tumors - whole blood (MTXNEW),BMS,DECIDE,,,,placeholder text sits where the MT number should be,,,,,,,https://app.hubspot.com/contacts/7423331/record/0-3/2265476724
18245958745,BMS: Various cancers - whole blood (MT4039/ MT9920),BMS,DECIDE,,MT4039,,"names two different MT numbers: MT4039, MT9920","MT9920 is the umbrella for fresh tumour orders, so MT4039 looks like this study's own number",,,,,,https://app.hubspot.com/contacts/7423331/record/0-3/18245958745
32406302331,EXS: MT7026 & MT7045 FFPE screenfails - plasma & buffy coat (MT7045-EX2501),EXS,DECIDE,,MT7045-EX2501,,"names two different MT numbers: MT7026, MT7045",the other numbers read as comparator studies; MT7045-EX2501 is the one in the trailing parentheses,,,,,,https://app.hubspot.com/contacts/7423331/record/0-3/32406302331
